s.Caulerpa.sp.;s.Haliclona.cnidata;s.Montipora.digitata;s.Peyssonnelia.sp.;s.Pocillopora.verrucosa;s.Sinularia.sp.;s.Xenia.sp.;index;stat;p.value;Peak
1;1;0;1;1;0;1;106;0,726550290410198;0,010;X1024.8s310.310mz
0;1;1;1;1;1;1;126;0,991347130129260;0,005;X538.9s373.185mz
0;1;1;1;1;1;1;126;0,995819975811458;0,005;X567.4s387.201mz
0;1;1;1;1;1;1;126;0,993169306770939;0,005;X567.4s404.227mz
0;1;1;1;1;1;1;126;0,995715003614771;0,005;X567.4s409.183mz
0;1;1;1;1;1;1;126;1,000000000000000;0,005;X586.9s423.198mz
0;1;1;1;1;1;1;126;0,971008312455224;0,005;X731.4s299.221mz
0;1;1;1;1;1;1;126;0,992831448793946;0,005;X587.0s418.243mz
0;1;1;1;1;1;1;126;0,985610760609162;0,005;X587.1s401.216mz
0;1;1;1;1;1;1;126;0,978336781043653;0,005;X688.2s147.065mz
0;1;1;1;1;1;1;126;0,941123948114320;0,005;X688.2s129.055mz
0;1;1;1;1;1;0;114;0,926082079451104;0,005;X688.2s259.190mz
0;1;1;1;1;1;1;126;0,890239220347131;0,005;X264.3s245.138mz
0;1;1;1;1;1;1;126;0,792824967172092;0,005;X539.3s390.212mz
0;1;1;1;1;1;1;126;0,819407451411428;0,005;X795.9s445.279mz
0;1;1;1;1;1;1;126;0,774596669241483;0,010;X811.7s459.295mz
0;1;1;1;1;1;1;126;0,918072515031979;0,005;X688.4s281.172mz
0;1;1;1;1;1;1;126;0,845154254728517;0,005;X434.3s387.201mz
0;1;1;1;1;1;1;126;0,783763812819726;0,005;X796.0s467.261mz
0;1;1;1;1;1;1;126;0,783763812819726;0,010;X470.5s445.243mz
0;1;1;1;1;1;1;126;0,819407451411428;0,005;X294.9s259.154mz
0;1;0;1;1;1;0;90;0,732728852455841;0,005;X539.8s395.167mz
0;1;1;1;1;1;0;114;0,760407660920932;0,010;X408.0s373.185mz
1;0;1;0;0;1;0;36;0,588896005793652;0,010;X872.9s482.404mz
1;0;0;0;0;0;0;1;0,770008275755850;0,005;X689.4s331.188mz
1;0;0;0;0;0;0;1;0,523048777028225;0,010;X229.6s432.280mz
1;0;0;0;0;0;0;1;0,599518142760123;0,010;X464.2s149.023mz
1;0;0;0;0;0;0;1;0,617918711564839;0,005;X229.6s415.254mz
1;0;0;0;0;0;0;1;0,666666666666667;0,005;X211.1s371.228mz
0;0;0;0;0;0;1;7;0,797724035217466;0,005;X549.4s329.174mz
1;0;0;0;0;0;0;1;0,524270200832226;0,005;X211.0s388.254mz
1;0;0;0;0;0;0;1;0,577350269189626;0,005;X246.0s459.280mz
1;0;0;0;0;0;0;1;0,666666666666667;0,005;X689.5s165.055mz
0;0;0;0;0;0;1;7;0,674199862463242;0,005;X408.3s329.174mz
0;0;0;0;0;0;1;7;0,674199862463242;0,005;X512.9s329.174mz
