s.controlled_Polyculture;s.Monoculture;s.seminatural_Polyculture;index;stat;p.value;Peak
0;1;1;6;0,762688365400535;0,005;X961.1s315.252mz
1;1;0;4;0,722096608091737;0,005;X148.5s137.107mz
1;0;0;1;0,598768221399029;0,010;X912.1s747.464mz
0;1;1;6;0,745277165281799;0,005;X922.3s531.386mz
0;1;1;6;0,734563186717460;0,005;X923.1s487.360mz
0;1;1;6;0,727535938688562;0,005;X923.6s438.378mz
1;1;0;4;0,684559810446197;0,010;X1005.1s109.101mz
0;1;1;6;0,702174786351691;0,005;X923.5s443.334mz
0;1;1;6;0,681980934360084;0,005;X888.3s438.378mz
0;1;1;6;0,616212761216436;0,010;X923.1s421.352mz
1;1;0;4;0,626575991317653;0,010;X689.5s332.222mz
1;0;0;1;0,602484540093948;0,005;X936.8s283.263mz
1;0;0;1;0,613750028204952;0,005;X912.5s675.445mz
1;0;0;1;0,548959016389823;0,005;X773.8s890.384mz
1;0;0;1;0,483019438335347;0,005;X45.1s132.102mz
0;1;1;6;0,584919279464182;0,005;X872.0s438.378mz
1;0;0;1;0,571240046217255;0,005;X909.3s211.205mz
1;0;0;1;0,426947376284730;0,010;X233.2s155.107mz
